12,2,値段,安く,キュウキュウ,パワー
19,3,値段,安い,の,問題
21,4,値段,相応,購入,デザイン,100
25,5,値段,器,手頃,商品,欲しかっ
44,3,値段,の,調子,良く,メーカー
52,1,値段,商品,充電,割り,嬉しく
62,1,A,価格,性能,いま,満足,出力,購入,あと,可能
75,4,2,熱く,こと,ポート,価格
77,2,A,価格,乗り換え,600,円
78,5,値段,得,倍,大変,容量
87,1,パ,問題,最高,性能,価格
92,2,分,価格,よう,十,問題
95,3,固体,反応,こと,差,価格
129,5,02,安い,高速,差異,圧倒的,--　★★★★★,デザイン,評価,値段,良し
136,4,価格,バランス,性能
137,3,値段,安め,良かっ,早い,速度
144,4,価格,デザイン,モスキートノイズ,シンプル,手ごろ
166,5,価格,確認,済,無事,帯
176,1,やすく,値段,よかっ,手頃,オススメ
181,5,値段,しょうが,満点,よう,これ
187,1,十分,価格,満足,安く,容量
188,5,値段,安い,購入,あと,速い
194,4,充電,安く,速い,出力,価格
195,5,値段,1,タイプ,口,もの
200,3,値段,鳴り,2,相応,うるさい
204,5,用,値段,購入,安く,やすく
210,5,値段,mah,2000,安く,２
212,5,ポイント,よい,価格
234,4,用,値段,ipod,A,１
236,5,値段,リーズナブル,ため,出力,可能
249,1,価格,差,さ,2,4,大き
251,5,値段,2,タイプ,ポート,問題
262,3,安い,価格,充電,リピート,てには
268,5,値段,手間,購入,返品,Ｎｅｔ
289,4,安い,(,いい,の,値段,使用,購入,こちら,コネクタ
296,4,私,価格,チェック,出力,もの
316,2,値段,笑,3,オススメ,安価
326,5,価格,良かっ,評価,の,手ごろ
346,5,値段,安物,購入,安い,これ
351,1,価格,なし,&,性能,鳴き
352,5,値段,コンセント,角度
360,5,値段,ネット,店,通販,電気
376,5,価格,充電,よう,半年,急速
381,4,値段,1,充電,ポート
396,4,A,最近,電源,お願い,もの,値段,良し,の
398,4,値段,最高,やばい,普通,ダメ
414,5,値段,価格,の,手ごろ
416,4,値段,純正,ケーブル,充電
423,4,値段,最高,割り
430,5,安い,価格,これ,能力,的,スマホ,家庭,値段,個人,良
439,3,値段,軽量,安い,便利,コンパクト
450,4,充電,ホ,もの,問題,値段,スマ,の
452,5,相応,価格,2,ヶ月,問題
458,3,値段,使用,安く,二つ,問題
470,1,値段,3,耐久,購入,/
487,5,安い,価格,充電,の,可能
500,3,価格,手頃,ホワイト,購入
508,5,価格,購入,高く,の,重宝
511,2,大きい,価格,安く,もの,満足
514,5,値段,割,品
515,4,価格,あちこち,充電,いい,安価
525,3,値段,おすすめ,クオリティ,商品,使い勝手
555,4,安い,価格,事,なし,満足
562,4,価格,最悪,購入,安かっ
563,1,価格,的,商品,対応,安価
577,5,値段,的,すごく,充電,良品
582,5,安い,価格,購入,作り,ため
585,4,よい,安かっ,充電,送料,価格
603,4,値段,２,商品,いい
605,4,値段,スムーズ,充電,安く
606,5,値段,安,さ
616,4,値段,割,悪く
620,3,値段,安い,購入,作り,良い
627,5,価格,やすい,安く,非常
637,5,価格,文句,なし,面
650,4,値段,商品,いい,満足
654,2,手軽,器,満足,早く,価格
658,4,価格,2000,mA,1000
674,5,値段,器,活躍,満足
675,5,値段,充電,手頃,早い,納得
686,4,!,価格,good,やすい,安く
689,3,価格,安かっ,配送,大変,早く
698,4,値段,心配,安く,充電,これ
708,1,値段,よい,小さい
721,4,やすかっ,価格,割,安かっ
724,4,価格,活躍,楽,充電,安く
730,4,値段,重宝,ビデオカメラ,手ごろ
736,5,価格,的,機能,非常
758,5,価格,k,機能,是非,満足
775,3,値段,安い,良かっ,機能,良し
788,5,安い,便利,値段,割,２
799,4,値段,２つ,お気に入り,安く,同時
802,3,値段,以上,充電,種類
816,2,値段,相応,デザイン,購入,性能
819,5,値段,便利,大変,満足
820,5,値段,友達,手頃,充電,重宝
833,5,値段,使用,安く,大変,問題
839,5,納期,満足,全て,品質,価格
853,5,2,価格,000,A,円
857,2,値段,出力,割り,良い
864,1,価格,申し分,嬉しい,の,安価
886,2,値段,安値,２,mA,1000
889,4,後悔,価格,購入,よう,商品
895,5,値段,よう,型,の
905,1,価格,本日,コンパクト,割引,気,性,機能,着荷,満足,よう,上出来
914,4,値段,手頃,いい
921,5,値段,安かっ,購入,目的,それなり
946,3,レビュー,価格,購入,性能,方
952,2,値段,mA,2000,発熱,位
962,3,値段,ポート,ＵＳＢ,良い
