14,5,安い,価格,こと,充電
15,5,値段,使用,バッファ,具合,頻度
26,3,見た目,満足,とも,性能,価格
27,2,価格,差,上位,帯,機,ん,以前,確か,こちら
32,5,条件,割,差,アマゾン,良い,自体,多少,値段,購入
34,4,値段,給電,安く,ポート,満足
39,5,値段,鳴り,的,音,純正
45,5,価格,割,質感,性能,良い,こちら,総合,デザイン,考慮,購入,非常,良し,的
47,3,リーズナブル,値段,品切れ,円,たま
48,5,価格,充電,差,ため,器,的,安く,の,W,こちら
58,5,値段,無事,完了,サイズ,とも
59,5,ベスト,価格,的,ポート,満足
60,4,リーズナブル,価格,大変,さ,そう
66,5,スマート,コンパクト,フォン,出力,価格
75,5,安い,価格,購入,円,満足
78,4,手ごろ,２つ,点,の,価格
82,5,価格,2,W,方,差
87,5,安い,価格,こと,機種,上位
89,1,価格,充電,2000,使い勝手,以下,3,値段,手頃,円
90,5,人,価格,気,大きく,鳴き
127,4,それ,価格,5,最大,程
146,4,ところ,価格,2,コンセント,,
152,5,値段,しょうが,注意,よう,ハズレ
155,5,価格,非常,の,良い,安価
157,5,価格,安く,こと,小さかっ,非常
160,5,価格,さ,ポート,正直,安
167,4,ところ,価格,的,大変,いい
170,5,時,値段,購入,1400,円
184,5,価格,機能,コストパフォーマンス,品質
200,5,値段,以上,きれい,外観
201,4,価格,等,割,大変,良い,デザイン,の,値段,よう,高額
202,5,２つ,急速,差,これ,価格
207,5,器,非常,割,充電,価格
219,4,値段,リーズナブル,お買い得,切れ,待ち遠しい
226,4,1780,価格,40,円,満足
229,5,値段,使用,充電,そこそこ,安っぽい
241,5,利用,製品,持ち運び,うれしい,価格
257,4,1,価格,購入,台,,
261,4,A,0,ホ,スマ,価格
264,4,価格,価値,程度,差,円
287,4,価格,購入,商品,円,2500
289,4,値段,相応,コンパクト,辺り,問題
295,4,値段,高かっ,私,ころ,鳴き
301,5,価格,非常,とこ,気,製品,考慮,半額,程度,発見
313,5,コンパクト,価格,的,さ,よく,個人,電流,素敵
324,5,唯一,価格,安価,なく,申し分
327,4,値段,損,良い,内容
330,5,値段,安い,不安定,必要,商品
333,4,価格,デザイン,面,出力,文句
337,3,価格,商品,これ,的,安く,気,いま,保証,使用,大き
345,5,値段,文句,なし,5,ポート
348,5,９,ポート,５,円,価格
350,4,価格,質感,お買い得,性能
365,5,少なく,よかっ,これ,の,値段,こちら,口数,容量
366,4,値段,ノイズ,大き,さ,製品
371,5,値段,メロット,無し,割,問題
385,4,価格,金額,設定,の,近い
396,5,値段,購入,ショップ,高い,モデル
404,4,ない,価格,世,これ,重宝
408,5,以上,価格,質感,同等,アダプター
411,5,価格,こと,解決,大き,さ
417,5,値段,1999,機器,よかっ,円
433,5,口,値段,パ,5,コス
446,5,値段,安物,粗悪,機能,高め
448,5,時,価格,安い,レビュー,-,つもり,4,製品,値段,PL
458,5,価格,等,なく,AMAZON,１
467,5,値段,熱く,デザイン,安い,良い
468,5,価格,手頃,便利,の,製品
478,4,便利,め,無料,送料,価格
480,4,値段,手頃,充電,５,ポート
488,4,価格,的,速やか,充電,妥当
500,5,値段,満足,手ごろ,方向,にくい
511,5,価格,中,商品,デザイン,コンパクト
513,5,値段,ハブ,USB,良い,満足
529,5,値段,純正,IQ,power,アダプター
544,3,値段,よし,長,コード
552,5,おかげ,器,値段,安く,いい
566,5,安い,価格,周り,大変,一
652,5,値段,デザイン,もの,良く,満足
670,4,価格,不具合,妥当,重宝
677,4,値段,器,満足,安く,シンプル
679,4,以上,価格,価値,良かっ
691,5,価格,的,品質,Anker,手ごろ,購入
692,5,利用,充電,使い,普段,価格
704,4,値段,事,手ごろ,良い,非常
710,4,それ,以外,値段,十分
714,5,値段,器,手頃,よかっ,取り合い
731,5,値段,１,５,ポート,~
757,5,値段,手頃,もの,多い
770,5,値段,手,さん,商品,手ごろ
781,4,値段,考慮,度,高い,満足
798,5,価格,良し,使い勝手
799,5,値段,よかっ,割,毎日
820,5,納得,価格,器,充電,重宝
832,4,安い,価格,オススメ,いい,物
859,5,値段,問題,次回,安価
867,5,余裕,値段,5,A,なに
879,4,安い,価格,やすい,おすすめ,非常
912,5,価格,的,買い得,速度,問題
949,5,価格,コンパクト,安く,デザイン,最高,値段
961,1,安い,不良,なし,安く,評価,値段,保証書
